State,Statefips,County,Countyfips,Fips,Year,Total population of area,Public Supply total population served,Public supply total withdrawals,Domestic total self-supplied withdrawals,DO-WDelv ,Industrial self-supplied groundwater withdrawals total,Industrial self-supplied surface-water withdrawals total,Industrial self-supplied total withdrawals total,Irrigation total withdrawals fresh,Irrigation acres irrigated total,Livestock total withdrawals fresh,Aquaculture groundwater withdrawals total,Aquaculture surface-water withdrawals total,Aquaculture total withdrawals total,Mining groundwater withdrawals total,Mining surface-water withdrawals total,Mining total withdrawals total,Thermoelectric groundwater withdrawals total,Thermoelectric surface-water withdrawals total,Thermoelectric total withdrawals total,Thermoelectri total consumptive use total,Thermoelectric once-through groundwater withdrawals total,Thermoelectric once-through surface-water withdrawals total,Thermoelectric once-through total withdrawals,Thermoelectric once-through total consumptive use total,Thermoelectric recirculating groundwater withdrawals total,Thermoelectric recirculating total withdrawals total,Thermoelectric recirculating total consumptive use total,Total groundwater withdrawals total,Total surface-water withdrawals total,Total withdrawals total,Irrigation and Thermoelectric total consumptive use total
GA,13,Glynn County,127,13127,2015,83.58,74.16,9.31,0.71,6.0,29.53,0.0,29.53,2.24,2.09,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,1.62,1.63,0.02,0.01,1.62,1.63,0.02,0.0,0.0,0.0,41.66,1.78,43.44,2.26
GA,13,Gordon County,129,13129,2015,56.57,49.36,10.43,0.54,4.48,0.0,0.0,0.0,1.17,1.81,0.99,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,8.43,13.19,1.17
GA,13,Grady County,131,13131,2015,25.21,11.73,1.73,1.01,2.22,0.0,0.0,0.0,5.53,17.08,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,2.0,8.74,5.53
GA,13,Greene County,133,13133,2015,16.71,10.19,1.23,0.49,1.46,0.0,0.0,0.0,1.14,0.91,0.48,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.74,3.44,1.14
GA,13,Gwinnett County,135,13135,2015,895.82,895.82,0.64,0.0,51.2,0.0,0.0,0.0,1.34,1.3,0.0,0.0,0.0,0.0,0.24,0.01,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.29,2.23,1.34
GA,13,Habersham County,137,13137,2015,44.0,36.03,5.66,0.6,3.46,0.0,0.0,0.0,0.22,0.27,0.57,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,5.66,7.07,0.22
GA,13,Hall County,139,13139,2015,193.54,154.86,88.18,1.06,6.32,0.39,0.05,0.44,0.68,0.84,0.54,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,88.24,91.07,0.68
GA,13,Hancock County,141,13141,2015,8.55,7.77,1.2,0.06,0.51,0.0,0.0,0.0,0.56,0.31,0.06,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.09,1.95,0.56
GA,13,Haralson County,143,13143,2015,28.85,23.8,2.53,0.38,1.98,0.0,0.0,0.0,0.14,0.14,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,2.69,3.27,0.14
GA,13,Harris County,145,13145,2015,33.38,25.64,6.26,0.58,2.74,0.0,0.0,0.0,0.03,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,5.91,6.94,0.03
GA,13,Hart County,147,13147,2015,25.53,12.22,1.46,1.0,2.07,0.0,0.0,0.0,0.92,1.07,0.94,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,2.6,4.34,0.92
GA,13,Heard County,149,13149,2015,11.54,9.52,1.22,0.15,0.65,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.55,14.55,9.34,0.0,0.0,0.0,0.0,0.0,14.55,9.34,0.33,15.79,16.12,9.34
GA,13,Henry County,151,13151,2015,217.74,189.21,34.13,2.14,26.81,0.0,0.0,0.0,1.55,1.82,0.12,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,34.15,38.05,1.55
GA,13,Houston County,153,13153,2015,150.03,141.91,23.75,0.61,16.36,2.69,0.0,2.69,6.03,14.18,0.05,0.0,0.0,0.0,0.61,0.01,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38,0.37,33.75,6.03
GA,13,Irwin County,155,13155,2015,9.25,3.11,0.44,0.46,0.68,0.0,0.0,0.0,15.78,36.67,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45,7.4,16.85,15.78
GA,13,Jackson County,157,13157,2015,63.36,51.63,9.52,0.88,4.86,0.52,0.0,0.52,0.29,0.3,0.91,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,9.6,12.21,0.29
GA,13,Jasper County,159,13159,2015,13.64,7.64,0.75,0.45,0.97,0.0,0.0,0.0,0.37,0.18,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.5,1.87,0.37
GA,13,Jeff Davis County,161,13161,2015,14.92,6.33,0.9,0.64,1.2,0.1,0.0,0.1,2.33,11.03,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.93,4.12,2.33
GA,13,Jefferson County,163,13163,2015,16.11,9.59,1.32,0.49,1.38,4.11,2.97,7.08,15.87,25.38,0.43,0.37,0.01,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95,4.62,25.57,15.87
GA,13,Jenkins County,165,13165,2015,8.96,4.14,0.45,0.36,0.64,0.07,0.0,0.07,6.85,11.86,0.16,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,1.59,8.0,6.85
GA,13,Johnson County,167,13167,2015,9.66,4.25,0.53,0.41,0.6,0.0,0.0,0.0,0.98,3.18,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.09,2.16,0.98
GA,13,Jones County,169,13169,2015,28.49,15.35,2.73,0.99,2.28,0.0,0.0,0.0,0.16,0.15,0.14,0.0,0.0,0.0,0.48,0.01,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.21,4.51,0.16
GA,13,Lamar County,171,13171,2015,18.2,7.78,1.87,0.78,2.14,0.0,0.0,0.0,1.1,0.57,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,1.94,4.01,1.1
GA,13,Lanier County,173,13173,2015,10.31,4.14,0.36,0.46,0.77,0.0,0.0,0.0,1.38,5.25,0.04,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.03,2.37,1.38
GA,13,Laurens County,175,13175,2015,47.73,24.68,3.54,1.73,3.69,1.38,10.16,11.54,3.89,10.11,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,13.03,20.87,3.89
GA,13,Lee County,177,13177,2015,29.2,18.73,1.87,0.79,2.17,0.0,0.0,0.0,27.26,42.83,0.48,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,3.88,30.48,27.26
GA,13,Liberty County,179,13179,2015,62.47,51.26,6.42,0.84,4.02,10.43,0.63,11.06,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.09,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.72,0.74,18.46,0.0
GA,13,Lincoln County,181,13181,2015,7.67,5.09,0.01,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.32,0.0
GA,13,Long County,183,13183,2015,17.73,4.94,0.51,0.96,1.26,0.0,0.0,0.0,0.05,0.89,0.07,0.0,0.0,0.0,0.16,0.01,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.13,1.76,0.05
GA,13,Lowndes County,185,13185,2015,112.87,89.35,13.16,1.76,8.96,11.26,0.0,11.26,2.03,8.32,0.12,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,0.5,28.4,2.03
GA,13,Lumpkin County,187,13187,2015,31.41,8.54,1.27,1.72,2.41,0.0,0.0,0.0,0.21,0.2,0.16,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.14,3.39,0.21
GA,13,McDuffie County,189,13189,2015,21.54,17.72,2.59,0.29,1.43,0.0,0.0,0.0,0.43,0.72,0.2,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,2.97,3.6,0.43
GA,13,McIntosh County,191,13191,2015,13.97,10.5,1.04,0.26,1.2,0.02,0.0,0.02,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,0.16
GA,13,Macon County,193,13193,2015,13.63,8.49,1.03,0.39,0.95,0.53,9.78,10.31,11.98,25.53,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.61,12.81,25.42,11.98
GA,13,Madison County,195,13195,2015,28.44,8.4,0.53,1.5,1.85,0.0,0.11,0.11,0.19,0.18,0.85,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.51,3.25,0.19
GA,13,Marion County,197,13197,2015,8.76,5.55,1.41,0.24,1.16,0.0,0.44,0.44,0.85,4.43,0.14,0.0,0.0,0.0,0.95,1.07,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,2.26,5.1,0.85
GA,13,Meriwether County,199,13199,2015,21.19,10.87,0.31,0.77,1.51,0.07,0.0,0.07,0.18,0.3,0.2,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.39,1.64,0.18
GA,13,Miller County,201,13201,2015,5.85,1.9,0.26,0.3,0.44,0.0,0.0,0.0,35.22,56.82,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.65,0.54,36.19,35.22
GA,13,Mitchell County,205,13205,2015,22.57,11.18,3.77,0.85,1.84,0.96,0.0,0.96,52.04,88.03,0.83,12.68,0.0,12.68,0.0,0.0,0.0,0.09,0.0,0.09,0.06,0.0,0.0,0.0,0.0,0.09,0.09,0.06,69.34,1.88,71.22,52.1
GA,13,Monroe County,207,13207,2015,27.1,14.35,1.58,0.96,2.35,0.0,0.0,0.0,0.43,0.43,0.21,0.12,0.0,0.12,0.16,0.0,0.16,0.06,44.33,44.39,23.43,0.0,0.0,0.0,0.0,0.06,44.39,23.43,1.75,46.1,47.85,23.86
GA,13,Montgomery County,209,13209,2015,8.95,3.87,0.18,0.38,0.56,0.0,0.0,0.0,1.01,3.28,0.1,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.43,1.76,1.01
GA,13,Morgan County,211,13211,2015,18.05,7.83,1.34,0.77,1.33,0.02,0.0,0.02,1.5,1.67,1.2,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,3.92,4.86,1.5
GA,13,Murray County,213,13213,2015,39.57,29.76,1.89,0.74,2.63,0.0,0.0,0.0,0.19,0.3,0.32,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,1.85,3.16,0.19
GA,13,Muscogee County,215,13215,2015,200.58,200.58,36.77,0.0,17.03,0.0,0.0,0.0,0.41,0.4,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.0,5.95,5.95,0.0,0.0,0.0,0.0,0.0,0.0,5.95,0.0,0.33,43.03,43.36,0.41
GA,13,Newton County,217,13217,2015,105.47,88.13,13.73,1.3,7.65,0.0,0.0,0.0,0.53,0.69,0.15,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,14.05,15.76,0.53
GA,13,Oconee County,219,13219,2015,35.97,24.35,0.35,0.87,2.49,0.0,0.0,0.0,3.44,1.49,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,0.18,5.04,3.44
GA,13,Oglethorpe County,221,13221,2015,14.87,4.56,0.26,0.77,1.01,0.0,0.0,0.0,0.27,0.34,2.8,0.0,0.0,0.0,0.17,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,0.7,4.28,0.27
GA,13,Paulding County,223,13223,2015,152.24,122.37,0.1,2.24,10.31,0.0,0.0,0.0,0.59,0.46,0.09,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.46,3.1,0.59
GA,13,Peach County,225,13225,2015,26.72,17.48,2.31,0.69,2.03,0.2,0.0,0.2,4.27,11.4,0.01,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.17,7.57,4.27
GA,13,Pickens County,227,13227,2015,30.31,25.52,2.77,0.36,2.73,1.12,0.0,1.12,0.09,0.09,0.25,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,2.13,4.89,0.09
GA,13,Pierce County,229,13229,2015,19.1,8.0,0.57,0.83,1.25,0.11,0.0,0.11,3.78,12.69,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.59,5.46,3.78
GA,13,Pike County,231,13231,2015,17.94,3.58,2.97,1.08,6.19,0.0,0.0,0.0,1.15,1.52,0.11,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,4.15,5.41,1.15
GA,13,Polk County,233,13233,2015,41.52,40.31,5.6,0.09,3.35,1.7,0.0,1.7,0.16,0.15,0.26,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,4.22,7.85,0.16
GA,13,Pulaski County,235,13235,2015,11.4,5.34,1.09,0.45,1.09,0.3,0.0,0.3,10.34,24.37,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65,2.65,12.3,10.34
GA,13,Putnam County,237,13237,2015,21.35,18.99,3.76,0.18,0.92,0.07,0.0,0.07,0.35,0.49,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.92,180.92,1.81,0.0,180.92,180.92,1.81,0.0,0.0,0.0,1.54,184.48,186.02,2.16
GA,13,Quitman County,239,13239,2015,2.3,2.09,0.17,0.02,0.19,0.0,0.0,0.0,0.05,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.05,0.24,0.05
GA,13,Rabun County,241,13241,2015,16.28,11.08,1.6,0.39,1.35,0.1,0.28,0.38,0.26,0.28,0.11,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.28,0.28,0.2,0.0,0.0,0.0,0.0,0.0,0.28,0.2,0.74,2.31,3.05,0.46
GA,13,Randolph County,243,13243,2015,7.19,5.02,0.88,0.16,0.76,0.17,0.0,0.17,17.81,28.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77,9.31,19.08,17.81
GA,13,Richmond County,245,13245,2015,201.79,195.83,39.17,0.45,13.69,1.34,64.81,66.15,0.59,1.15,0.04,0.0,0.0,0.0,2.16,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.39,97.17,108.56,0.59
GA,13,Rockdale County,247,13247,2015,88.86,75.34,11.76,1.01,6.43,0.0,0.0,0.0,0.58,0.55,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,12.07,13.37,0.58
GA,13,Schley County,249,13249,2015,5.17,4.1,0.45,0.08,0.41,0.0,0.0,0.0,0.15,1.41,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.1,0.74,0.15
GA,13,Screven County,251,13251,2015,14.16,4.63,0.74,0.71,1.03,1.34,0.0,1.34,13.01,24.65,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.81,2.2,16.01,13.01
GA,13,Seminole County,253,13253,2015,8.65,4.09,0.5,0.34,0.69,0.0,0.0,0.0,44.26,52.94,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.96,0.33,45.29,44.26
GA,13,Spalding County,255,13255,2015,64.05,61.16,6.83,0.22,4.08,0.0,0.0,0.0,0.28,0.45,0.05,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,6.85,7.42,0.28
GA,13,Stephens County,257,13257,2015,25.59,23.12,3.38,0.18,2.17,0.0,0.0,0.0,0.31,0.3,0.33,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,3.32,4.27,0.31
GA,13,Stewart County,259,13259,2015,5.85,5.07,0.78,0.06,0.68,0.0,0.0,0.0,0.71,3.42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.68,1.56,0.71
GA,13,Sumter County,261,13261,2015,30.78,18.93,2.48,0.89,2.39,0.39,0.0,0.39,20.57,44.4,0.44,0.0,0.0,0.0,1.34,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.14,5.97,26.11,20.57
GA,13,Talbot County,263,13263,2015,6.34,5.13,1.33,0.09,1.75,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.01,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.27,1.83,0.0
GA,13,Taliaferro County,265,13265,2015,1.64,0.58,0.05,0.08,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0
GA,13,Tattnall County,267,13267,2015,25.23,9.61,1.22,1.17,1.8,0.03,0.0,0.03,6.96,18.19,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,5.69,11.6,6.96
GA,13,Taylor County,269,13269,2015,8.33,4.41,0.62,0.29,0.75,0.0,1.74,1.74,0.29,0.32,0.07,0.0,0.0,0.0,0.03,0.58,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,2.67,3.62,0.29
GA,13,Telfair County,271,13271,2015,16.4,9.27,1.22,0.53,1.15,0.06,0.0,0.06,2.38,10.24,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.36,4.28,2.38
GA,13,Terrell County,273,13273,2015,9.11,6.16,1.44,0.22,0.71,0.0,0.0,0.0,14.89,30.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43,5.15,16.58,14.89
GA,13,Thomas County,275,13275,2015,45.06,31.35,5.64,1.03,3.56,0.17,0.0,0.17,3.69,13.93,0.3,0.0,0.0,0.0,0.85,0.01,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.49,11.69,3.69
GA,13,Tift County,277,13277,2015,40.76,27.48,4.78,1.0,4.21,0.0,0.0,0.0,12.44,25.07,0.14,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.57,5.8,18.37,12.44
GA,13,Toombs County,279,13279,2015,27.24,18.42,2.84,0.66,2.07,0.0,0.0,0.0,8.43,15.01,0.11,0.0,0.21,0.21,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.03,4.28,12.31,8.43
GA,13,Towns County,281,13281,2015,11.18,10.29,1.54,0.07,1.19,0.0,0.0,0.0,0.09,0.09,0.09,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.69,1.99,0.09
GA,13,Treutlen County,283,13283,2015,6.79,2.47,0.3,0.32,0.49,0.0,0.0,0.0,1.73,1.85,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.08,2.38,1.73
GA,13,Troup County,285,13285,2015,69.76,49.55,8.54,1.52,5.04,0.0,0.0,0.0,0.08,0.08,0.13,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,8.7,10.31,0.08
GA,13,Turner County,287,13287,2015,8.21,5.39,0.79,0.21,0.71,0.0,0.0,0.0,11.48,31.23,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48,4.15,12.63,11.48
GA,13,Twiggs County,289,13289,2015,8.39,2.37,0.45,0.45,0.7,3.35,0.0,3.35,1.26,2.44,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.04,5.54,1.26
GA,13,Union County,291,13291,2015,22.27,21.95,1.82,0.02,1.09,0.0,0.0,0.0,0.19,0.19,0.06,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.19,2.12,0.19
GA,13,Upson County,293,13293,2015,26.37,14.72,3.02,0.87,2.67,0.0,0.28,0.28,0.4,0.95,0.22,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,3.4,4.83,0.4
GA,13,Walker County,295,13295,2015,68.07,61.6,6.62,0.49,5.32,0.03,0.6,0.63,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,1.98,8.26,0.0
GA,13,Walton County,297,13297,2015,88.4,63.26,3.16,1.89,6.61,0.0,0.0,0.0,2.44,1.22,0.21,0.0,0.02,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.95,7.73,2.44
GA,13,Ware County,299,13299,2015,35.37,31.49,2.74,0.29,1.91,0.86,0.0,0.86,1.37,5.61,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.93,5.42,1.37
GA,13,Warren County,301,13301,2015,5.46,3.64,0.32,0.14,0.36,0.14,0.0,0.14,0.0,0.0,0.21,0.0,0.0,0.0,0.16,0.1,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.45,1.07,0.0
GA,13,Washington County,303,13303,2015,20.82,12.49,2.0,0.62,1.23,12.49,0.0,12.49,1.24,8.56,0.18,0.0,0.0,0.0,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24,0.28,17.52,1.24
GA,13,Wayne County,305,13305,2015,29.53,13.76,1.5,1.18,2.07,57.05,0.0,57.05,2.25,6.52,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.86,0.27,62.13,2.25
GA,13,Webster County,307,13307,2015,2.65,1.04,0.1,0.12,0.2,0.0,0.0,0.0,4.37,11.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,3.45,4.63,4.37
GA,13,Wheeler County,309,13309,2015,7.9,4.47,0.18,0.26,0.38,0.0,0.0,0.0,1.99,4.85,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.69,2.57,1.99
